,Unnamed: 0_x,Unnamed: 0.1,GISJOIN,COUNTY,Median age: Total,total_population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Lives alone,Householder living with spouse or spouse of householder,Householder living with unmarried partner or unmarried partner of householder,No schooling completed,Regular high school diploma,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,English only,Spanish,In labor force: Civilian labor force: Unemployed,Below Poverty Line,longitude,latitude,Unnamed: 0_y,percapita-income
13,13,13,17027,Clinton County,40.4,37640,94.0,4.0,0.0,1.0,0.0,10.0,41.0,5.0,1.0,19.0,8.0,11.0,4.0,1.0,0.0,36.0,1.0,2.0,9.0,-89.42248488817849,38.6064518848653,13,30382
14,14,14,17029,Coles County,34.3,52540,93.0,4.0,0.0,1.0,0.0,13.0,35.0,5.0,1.0,16.0,7.000000000000001,9.0,5.0,1.0,1.0,38.0,1.0,4.0,19.0,-88.22179534650057,39.52028687842639,14,26060
15,15,15,17031,Cook County,36.4,5238541,56.99999999999999,24.0,0.0,7.000000000000001,0.0,12.0,31.0,4.0,1.0,14.000000000000002,4.0,15.0,7.000000000000001,2.0,1.0,25.0,6.0,5.0,16.0,-87.64616599861608,41.895420238929866,15,33722
16,16,16,17033,Crawford County,42.5,19214,93.0,4.0,0.0,0.0,0.0,12.0,41.0,6.0,0.0,19.0,12.0,8.0,3.0,1.0,0.0,39.0,0.0,3.0,11.0,-87.75955686833656,39.00268635788883,16,25955
17,17,17,17035,Cumberland County,41.9,10899,98.0,0.0,0.0,0.0,0.0,11.0,44.0,5.0,1.0,23.0,9.0,7.000000000000001,3.0,0.0,0.0,38.0,1.0,2.0,14.000000000000002,-88.2402304471553,39.273316631567866,17,24956
18,18,18,17037,DeKalb County,30.7,104473,84.0,7.000000000000001,0.0,2.0,0.0,10.0,33.0,6.0,0.0,13.0,6.0,11.0,5.0,0.0,1.0,31.0,2.0,5.0,17.0,-88.77031483418381,41.89352862326205,18,26511
19,19,19,17039,De Witt County,42.8,16176,90.0,0.0,0.0,0.0,0.0,12.0,44.0,6.0,0.0,22.0,6.0,11.0,3.0,0.0,0.0,40.0,1.0,4.0,13.0,-88.9040902071932,40.174628596552466,19,27866
20,20,20,17041,Douglas County,37.9,19830,96.0,0.0,1.0,1.0,0.0,11.0,41.0,4.0,0.0,19.0,5.0,9.0,3.0,0.0,0.0,32.0,2.0,3.0,12.0,-88.21735503026011,39.769463883422986,20,26284
21,21,21,17043,DuPage County,39.1,931826,78.0,5.0,0.0,11.0,0.0,9.0,42.0,3.0,1.0,11.0,5.0,20.0,10.0,2.0,1.0,27.0,3.0,3.0,7.000000000000001,-88.08562785946177,41.85195597522493,21,42050
22,22,22,17045,Edgar County,44.5,17603,98.0,1.0,0.0,0.0,0.0,12.0,44.0,5.0,1.0,21.0,9.0,8.0,4.0,0.0,0.0,43.0,0.0,4.0,15.0,-87.74557092943037,39.678534631475735,22,26344
23,23,23,17047,Edwards County,43.6,6570,97.0,0.0,0.0,1.0,0.0,13.0,45.0,4.0,0.0,22.0,14.000000000000002,6.0,2.0,0.0,0.0,41.0,0.0,3.0,11.0,-88.05326894568785,38.41653278414167,23,26549
24,24,24,17049,Effingham County,39.1,34164,97.0,1.0,0.0,0.0,0.0,11.0,42.0,5.0,0.0,22.0,9.0,11.0,3.0,1.0,0.0,38.0,1.0,2.0,11.0,-88.58985732756109,39.05976977012633,24,29300
25,25,25,17051,Fayette County,41.4,21980,93.0,5.0,0.0,0.0,0.0,9.0,37.0,4.0,1.0,24.0,6.0,6.0,2.0,0.0,0.0,34.0,0.0,3.0,16.0,-89.02414354434633,39.00019085899449,25,21844
26,26,26,17053,Ford County,43.2,13470,97.0,1.0,0.0,0.0,0.0,13.0,41.0,5.0,1.0,23.0,6.0,10.0,3.0,0.0,0.0,41.0,1.0,3.0,15.0,-88.22325865157471,40.597176962849005,26,26611
27,27,27,17055,Franklin County,42.3,39302,97.0,1.0,0.0,1.0,0.0,14.000000000000002,37.0,4.0,1.0,19.0,7.000000000000001,7.000000000000001,3.0,0.0,0.0,40.0,1.0,4.0,19.0,-88.9241539346955,37.99228499338639,27,22346
28,28,28,17057,Fulton County,42.5,35733,94.0,4.0,0.0,0.0,0.0,12.0,38.0,6.0,0.0,20.0,8.0,9.0,3.0,1.0,0.0,38.0,1.0,3.0,14.000000000000002,-90.20747268935908,40.47276639098269,28,24269
29,29,29,17059,Gallatin County,44.8,5226,97.0,0.0,0.0,0.0,0.0,14.000000000000002,43.0,5.0,0.0,25.0,7.000000000000001,7.000000000000001,2.0,0.0,1.0,43.0,0.0,3.0,16.0,-88.23050337355352,37.76274646874634,29,24538
30,30,30,17061,Greene County,42.7,13311,97.0,1.0,0.0,0.0,0.0,10.0,41.0,4.0,0.0,24.0,6.0,6.0,2.0,0.0,0.0,38.0,0.0,3.0,17.0,-90.39049434150644,39.35619924358252,30,22836
31,31,31,17063,Grundy County,37.5,50333,94.0,2.0,0.0,1.0,0.0,8.0,43.0,4.0,0.0,20.0,6.0,10.0,4.0,0.0,0.0,34.0,3.0,3.0,9.0,-88.41849536997549,41.28508661581713,31,31914
32,32,32,17065,Hamilton County,43.6,8259,99.0,1.0,0.0,0.0,0.0,11.0,47.0,4.0,0.0,22.0,7.000000000000001,7.000000000000001,4.0,0.0,0.0,40.0,0.0,2.0,14.000000000000002,-88.53910563751961,38.081573589419044,32,25945
33,33,33,17067,Hancock County,46.0,18264,98.0,1.0,0.0,0.0,0.0,11.0,47.0,4.0,0.0,25.0,9.0,10.0,3.0,0.0,1.0,40.0,0.0,3.0,11.0,-91.16469753452351,40.40377644545677,33,26118
34,34,34,17069,Hardin County,46.8,4161,94.0,4.0,0.0,0.0,0.0,12.0,35.0,1.0,1.0,24.0,9.0,7.000000000000001,1.0,0.0,0.0,35.0,0.0,9.0,16.0,-88.26685079442646,37.518202444754564,34,20025
35,35,35,17071,Henderson County,49.2,6927,97.0,0.0,0.0,1.0,0.0,13.0,45.0,6.0,0.0,30.0,7.000000000000001,8.0,2.0,0.0,0.0,43.0,0.0,3.0,11.0,-90.92511088367789,40.818117053640826,35,27949
36,36,36,17073,Henry County,42.7,49649,94.0,2.0,0.0,1.0,0.0,11.0,46.0,5.0,0.0,21.0,8.0,11.0,4.0,1.0,0.0,38.0,1.0,2.0,12.0,-90.13141730565891,41.35313328726963,36,28443
